system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
000000000000000005bd,85.0,26.0,57.0,27.0,46.0,38.0,99.0,93.0,66.0,45.0,116.0,42.0,Germany,0,0,0,86.8,9614,0,DEU,89.8,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),4.2,DE,DE9,DE93,DE93B,56.1,49.6,42523334,0,0,4.3,4.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ca,102.0,24.0,68.0,31.0,41.0,38.0,93.0,84.0,65.0,52.0,131.0,47.0,Germany,0,0,0,53.8,10104,0,DEU,172.2,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),3.2,DE,DE9,DE93,DE933,29.6,63.1,43263338,0,0,4.7,4.94,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d3,85.0,27.0,57.0,27.0,47.0,38.0,100.0,93.0,66.0,45.0,116.0,42.0,Germany,0,0,0,187.3,9604,0,DEU,179.2,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),15.6,DE,DE9,DE93,DE936,285.2,207.0,42503342,0,0,3.8,4.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005d6,82.0,26.0,56.0,26.0,48.0,38.0,98.0,95.0,65.0,42.0,113.0,41.0,Germany,0,0,0,193.8,9536,0,DEU,108.6,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),22.1,DE,DE9,DE93,DE936,249.7,50.5,42403344,0,0,4.4,4.6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ec,84.0,27.0,55.0,27.0,52.0,37.0,106.0,103.0,68.0,41.0,123.0,43.0,Germany,0,0,0,320.0,9463,0,DEU,297.7,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),28.8,DE,DE9,DE93,DE932,350.8,137.9,42283356,0,0,3.9,4.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ee,88.0,27.0,60.0,27.0,49.0,39.0,106.0,95.0,71.0,45.0,122.0,44.0,Germany,0,0,0,45.0,9580,0,DEU,108.0,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),3.9,DE,DE9,DE93,DE936,44.7,107.0,42463356,0,0,4.6,4.81,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005f3,87.0,20.0,57.0,27.0,40.0,34.0,89.0,72.0,63.0,46.0,114.0,41.0,Germany,0,0,0,12.54,10177,0,DEU,35.3,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),3.3,DE,DE9,DE93,DE935,44.1,68.8,43363356,0,0,5.1,5.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fb,91.0,28.0,61.0,28.0,50.0,39.0,110.0,94.0,71.0,47.0,127.0,45.0,Germany,0,0,0,55.5,9627,0,DEU,195.2,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),19.1,DE,DE9,DE93,DE937,534.8,175.8,42543360,0,0,3.8,4.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000611,84.0,26.0,57.0,26.0,51.0,39.0,107.0,93.0,73.0,43.0,123.0,45.0,Germany,0,0,0,12.87,9514,0,DEU,63.1,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),2.8,DE,DE9,DE93,DE932,30.2,104.8,42363374,0,0,4.9,5.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000617,83.0,26.0,55.0,25.0,51.0,39.0,108.0,94.0,73.0,43.0,124.0,45.0,Germany,0,0,0,254.0,9488,0,DEU,127.9,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),21.3,DE,DE9,DE93,DE932,303.4,85.7,42323378,0,0,3.7,3.85,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000626,97.0,26.0,65.0,27.0,55.0,36.0,112.0,85.0,72.0,50.0,136.0,52.0,Germany,0,0,0,41.7,9838,0,DEU,347.9,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),5.3,DE,DE9,DE93,DE939,55.5,91.7,42863392,0,0,4.8,5.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000629,92.0,27.0,60.0,25.0,52.0,39.0,111.0,90.0,80.0,49.0,134.0,50.0,Germany,0,0,0,88.1,9523,0,DEU,211.5,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),14.6,DE,DE9,DE93,DE932,393.7,120.1,42383394,0,0,3.5,3.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062d,99.0,27.0,66.0,28.0,58.0,38.0,119.0,91.0,77.0,53.0,143.0,52.0,Germany,0,0,0,59.2,9704,0,DEU,130.9,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),18.7,DE,DE9,DE93,DE932,520.9,138.3,42663394,0,0,3.3,3.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
