system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
0000000000000000007b,6.0,6.0,482.0,780.0,978.0,1193.0,793.0,785.0,542.0,294.0,215.0,87.0,Germany,2,0,0,24.9,11387,0,DEU,104.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),3.4,DE,DE2,DE21,DE21G,29.5,97.6,44842784,0,0,6.7,6.77,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,8.0,5.0,486.0,757.0,976.0,1162.0,670.0,688.0,576.0,310.0,222.0,103.0,Germany,49,0,0,64.1,10913,0,DEU,429.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),3.2,DE,DE2,DE21,DE21H,36.3,45.5,44382792,0,0,7.0,7.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,9.0,7.0,514.0,750.0,999.0,1183.0,581.0,653.0,574.0,308.0,227.0,112.0,Germany,3,0,0,12.23,11199,0,DEU,159.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.5,DE,DE2,DE21,DE21A,11.2,51.2,44662802,0,0,7.0,7.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,2.0,3.0,469.0,713.0,973.0,1102.0,542.0,566.0,531.0,291.0,204.0,110.0,Germany,330,0,0,34.7,11011,0,DEU,148.2,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),6.3,DE,DE2,DE21,DE21B,66.4,17.6,44482808,0,0,7.6,7.86,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,3.0,6.0,486.0,726.0,969.0,1151.0,624.0,583.0,542.0,283.0,217.0,90.0,Germany,1,0,0,28.5,11628,0,DEU,266.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE2,DE21,DE21G,14.4,98.6,45042812,0,0,5.9,6.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,5.0,4.0,485.0,719.0,994.0,1113.0,469.0,561.0,537.0,295.0,224.0,111.0,Germany,4,0,0,20.7,11154,0,DEU,290.0,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE2,DE21,DE21B,12.1,31.7,44622820,0,0,7.1,7.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0,9.0,12.0,499.0,693.0,935.0,900.0,314.0,424.0,374.0,292.0,221.0,118.0,Germany,169,0,0,33.3,10828,0,DEU,286.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.0,DE,DE2,DE21,DE211,38.0,43.5,44282848,0,0,7.5,7.77,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,4.0,5.0,470.0,682.0,971.0,891.0,299.0,404.0,396.0,268.0,206.0,110.0,Germany,182,0,0,29.1,11013,0,DEU,116.8,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),3.0,DE,DE2,DE21,DE219,45.9,24.8,44482856,0,0,7.5,7.78,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,6.0,3.0,496.0,690.0,926.0,899.0,324.0,434.0,357.0,277.0,208.0,125.0,Germany,0,0,0,16.6,10602,0,DEU,339.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE2,DE21,DE219,12.7,60.2,44022858,0,0,5.7,6.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,3.0,7.0,478.0,727.0,959.0,1146.0,642.0,570.0,546.0,281.0,205.0,82.0,Germany,1,0,0,16.72,11821,0,DEU,164.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.9,DE,DE2,DE22,DE22A,15.5,91.2,45222812,0,0,6.4,6.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,3.0,6.0,475.0,721.0,957.0,1134.0,611.0,560.0,555.0,283.0,210.0,86.0,Germany,0,0,0,11.42,11788,0,DEU,81.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.3,DE,DE2,DE22,DE22A,9.6,15.6,45202816,0,0,5.6,5.79,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3,4.0,4.0,469.0,693.0,966.0,1075.0,414.0,467.0,494.0,275.0,206.0,85.0,Germany,0,0,0,29.6,11606,0,DEU,307.2,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.9,DE,DE2,DE22,DE22C,14.3,48.0,45022834,0,0,6.1,6.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4,7.0,5.0,474.0,706.0,973.0,1075.0,365.0,501.0,486.0,284.0,209.0,100.0,Germany,119,0,0,76.4,11388,0,DEU,387.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),6.7,DE,DE2,DE22,DE227,67.2,75.0,44842834,0,0,7.4,7.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
