system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
00000000000000000019,342.0,255.0,312.0,314.0,289.0,258.0,258.0,252.0,280.0,237.0,331.0,249.0,Germany,1,25,28,21.0,11279,0,DEU,107.0,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),5.1,DE,DE2,DE21,DE21K,55.8,0.0,44742732,12,62,6.4,6.56,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,288.0,205.0,279.0,271.0,246.0,235.0,230.0,210.0,230.0,155.0,272.0,205.0,Germany,0,0,0,43.9,10679,0,DEU,261.6,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),5.0,DE,DE2,DE21,DE21N,44.6,40.0,44122736,0,0,6.4,6.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,281.0,209.0,264.0,275.0,245.0,218.0,227.0,219.0,241.0,189.0,275.0,185.0,Germany,1,20,11,30.9,11764,0,DEU,202.0,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),4.2,DE,DE2,DE21,DE21M,33.3,19.2,45182740,19,61,4.7,5.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,324.0,238.0,300.0,283.0,261.0,249.0,248.0,225.0,254.0,178.0,308.0,245.0,Germany,1,0,0,71.8,10514,0,DEU,154.3,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),6.2,DE,DE2,DE21,DE21N,53.2,33.1,43882738,0,0,5.7,6.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,292.0,206.0,282.0,270.0,245.0,230.0,231.0,209.0,230.0,153.0,276.0,208.0,Germany,1,0,0,112.1,10615,0,DEU,142.1,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),10.9,DE,DE2,DE21,DE21N,136.3,25.6,44042740,0,0,6.9,7.04,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,247.0,174.0,239.0,252.0,222.0,205.0,203.0,195.0,206.0,144.0,237.0,153.0,Germany,25,0,0,32.7,11344,0,DEU,38.3,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),2.8,DE,DE2,DE21,DE21K,31.8,15.2,44802744,0,0,7.2,7.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,309.0,218.0,288.0,286.0,257.0,236.0,236.0,221.0,243.0,185.0,295.0,213.0,Germany,0,0,0,61.6,11057,0,DEU,108.1,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),4.9,DE,DE2,DE21,DE21F,39.5,52.8,44522744,0,0,4.8,5.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,260.0,184.0,242.0,260.0,221.0,203.0,210.0,195.0,214.0,157.0,253.0,160.0,Germany,0,0,0,104.5,11644,0,DEU,278.2,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),7.0,DE,DE2,DE21,DE21M,65.4,61.4,45062748,0,0,5.2,5.34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,264.0,190.0,249.0,262.0,220.0,203.0,211.0,193.0,213.0,156.0,258.0,161.0,Germany,0,0,0,319.0,11684,0,DEU,149.8,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),28.3,DE,DE2,DE21,DE21M,319.6,55.3,45102750,0,0,4.7,4.9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,354.0,254.0,324.0,300.0,268.0,255.0,256.0,228.0,262.0,188.0,333.0,264.0,Germany,0,0,0,64.4,10576,0,DEU,149.8,E20,Grassland,Grassland without tree/shrub cover,U111,Agriculture (excluding fallow land and kitchen gardens),4.0,DE,DE2,DE21,DE21N,31.7,112.2,43982748,0,0,5.9,6.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
