OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
1,26581768,-8.775251839,37.13910423,0,0,0,6.9,7.24,18.14,24.6,34,24.3,2.9,245.6,E20,U111,PT,PT1,PT15,PT150,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2,26581792,-8.833727843,37.34974664,0,0,0,5.4,5.81,14.81,21.9,0,3.4,2.3,150,D20,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland without tree cover,Abandoned areas
3,26581954,-9.24209186,38.76853116,0,0,0,7,7.29,28.1,18.4,46,56.5,2.1,505.2,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
4,26601784,-8.792255364,37.28397193,0,0,0,4.4,5.17,5.37,48,0,5.6,3.3,103.8,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
5,26601978,-9.282250124,38.98282746,0,0,0,7.1,7.38,21.6,25.2,0,7.2,2.1,174.6,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
6,26701780,-8.672907268,37.27090711,0,0,0,4.4,5.06,6.69,16.4,0,0,1.9,74.4,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
7,26702014,-9.264401983,39.32008061,0,0,0,5.5,5.92,6.08,14.2,0,9.4,1.1,126.8,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
8,26741814,-8.711708338,37.57816004,0,0,0,4.9,5.64,6.85,16.8,0,28.1,1.7,103.8,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
9,26741986,-9.145973845,39.08451978,0,0,0,7.4,7.95,20.8,8.2,285,14,1.1,240.2,B82,U111,PT,PT1,PT16,PT16B,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
10,26761768,-8.578214406,37.17866631,0,0,0,7.1,7.56,18.84,38.9,70,49.2,3.8,645.2,E10,U111,PT,PT1,PT15,PT150,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
11,26761786,-8.621613437,37.33676436,0,0,0,4.3,4.93,4.38,26.3,0,4.2,2,80.4,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
12,26761804,-8.66529655,37.49479743,0,0,0,4.8,5.49,7.84,18.7,2,5.3,1.4,49.5,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
13,26761864,-8.812989762,38.02110541,0,0,0,4.3,5.25,3.88,6.3,0,0,0.4,56.6,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
14,26761998,-9.154804085,39.19392373,0,0,0,4.1,4.65,4.11,14.4,0,0,0.6,27.7,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
15,26762002,-9.16526974,39.22887796,0,0,0,6.4,6.66,3.86,3.4,1,8.6,0.4,88.2,B72,U111,PT,PT1,PT16,PT16B,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
16,26781816,-8.67255033,37.60451843,0,0,0,4.1,5.27,4.54,25.9,0,0,2.2,86.9,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
17,26802028,-9.188492044,39.46508987,0,0,0,6.1,6.53,4.46,4.7,0,6.1,0.4,26.6,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
18,26821846,-8.702020387,37.87653787,0,0,0,4.8,5.37,8.2,19.4,0,9.8,2.4,75.7,E10,U111,PT,PT1,PT18,PT181,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
19,26841758,-8.466693493,37.1082318,0,0,0,7.3,7.75,21.5,37.3,11,6.7,1.2,176.3,F40,U112,PT,PT1,PT15,PT150,Bareland,Other bare soil,Fallow land
20,26841764,-8.481015615,37.16096582,0,0,0,7.4,7.56,24.9,50,148,12.4,3.9,736.9,B84,U111,PT,PT1,PT15,PT150,Cropland,Permanent industrial crops,Agriculture (excluding fallow land and kitchen gardens)
21,26841826,-8.630849544,37.70546324,0,0,0,6.5,6.6,19.95,15.6,9,11.7,1.7,79.3,F40,U111,PT,PT1,PT18,PT181,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
22,26841836,-8.655334168,37.79321359,0,0,0,5.3,5.86,17.04,34.3,0,13.1,3.7,139.7,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
23,26841944,-8.925556639,38.73964766,0,0,0,6.1,6.48,3.58,5.7,0,31.2,0.6,24.3,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
24,26881938,-8.865543872,38.69604951,0,0,0,4.9,5.59,6.92,17.6,0,9.6,1.4,92.8,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
25,26921850,-8.601248224,37.93361456,0,0,0,5.5,5.84,8.34,12.1,0,7.2,1.2,59.4,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
26,26921874,-8.660429092,38.14413084,0,0,0,5.6,5.97,4.49,20.4,0,5,1.7,167.5,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
27,26921896,-8.715137176,38.33700377,0,0,0,4.4,5.2,1.71,2.9,0,0,0.2,13.6,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
28,26941804,-8.4672418,37.53415879,0,0,0,5.3,5.91,4.7,20.5,0,4.1,2,196.7,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
29,26941810,-8.481727657,37.58685722,0,0,0,4.4,5.13,5.32,25,0,4.1,2.2,101.7,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
30,26942016,-8.998901767,39.39184536,0,0,0,4.2,4.85,5.41,15.3,0,5,1.1,37.3,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
31,26961834,-8.517892982,37.80194714,0,0,0,5.1,5.62,3.82,13.7,0,4.1,1.2,73.4,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
32,26962018,-8.981530426,39.41382056,0,0,0,5.3,5.73,14.89,33.6,0,5,2,116.1,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
33,27001846,-8.502923022,37.91600888,0,0,0,4.8,5.45,2.05,4.2,0,4.1,0.4,22,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
34,27001864,-8.547006763,38.07396855,0,0,0,5.2,5.79,4.92,24.6,0,5,1.9,93.9,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
35,27001882,-8.591381992,38.23186429,0,0,0,4.7,5.09,11.4,7.6,0,42.1,0.7,34.7,B41,U111,PT,PT1,PT18,PT181,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
36,27001894,-8.621128655,38.33709262,0,0,0,4.6,5.36,1.92,2.9,0,5.8,0.2,15.1,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
37,27001936,-8.726281891,38.70516812,0,0,0,6.1,6.42,4.16,6.4,0,22.5,0.7,46.5,F40,U112,PT,PT1,PT17,PT170,Bareland,Other bare soil,Fallow land
38,27002038,-8.988560552,39.59761767,0,0,0,6.7,7.05,13.8,9.2,2,46.7,0.9,139.2,B72,U111,PT,PT1,PT16,PT16B,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
39,27021938,-8.708951935,38.72710826,0,0,0,3.6,4.28,3.19,9.4,0,6.6,0.4,23.1,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
40,27022016,-8.908556192,39.40977721,0,0,0,5.2,5.89,7,18.9,0,4.8,1.7,134.5,C10,U120,PT,PT1,PT18,PT185,Woodland,Broadleaved woodland,Forestry
41,27041840,-8.444053459,37.87204858,0,0,0,4.3,5.11,2.89,4.7,0,11.9,0.6,22.7,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
42,27041876,-8.532129552,38.18799401,0,0,0,4.5,5.41,2.17,7.1,0,4.7,0.6,196.4,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
43,27061758,-8.225788031,37.15573516,0,0,0,7.6,8.01,18.62,3.9,695,5.9,1.8,418.8,B74,U111,PT,PT1,PT15,PT150,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
44,27061888,-8.539497845,38.29762997,0,0,0,5.1,5.75,5.3,11.2,0,5.3,0.9,72.1,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
45,27061970,-8.745206354,39.01619339,0,0,0,6,6.3,10.56,3.7,0,58.4,0.5,45.9,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
46,27081828,-8.370764946,37.77534776,0,0,0,5,5.54,4.69,12.1,0,5.5,1.4,43,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
47,27101760,-8.186661556,37.18190161,0,0,0,7.5,7.92,16.2,14.4,14,13.5,1.7,169.4,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
48,27101814,-8.314985341,37.65667873,0,0,0,5.2,5.74,4.14,12.8,0,5.3,1.7,99.9,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
49,27101892,-8.504861164,38.34145735,0,0,0,4.8,5.53,1.56,4.3,0,0,0.3,13.3,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
50,27101940,-8.624439327,38.76226676,0,0,0,5.5,5.81,3.97,10.3,0,17,1,59.7,F40,U112,PT,PT1,PT17,PT170,Bareland,Other bare soil,Fallow land
51,27101964,-8.685027762,38.97250221,0,0,0,6.1,6.37,12.31,4.2,0,33.9,0.5,60.8,B42,U111,PT,PT1,PT18,PT185,Cropland,Tomatoes,Agriculture (excluding fallow land and kitchen gardens)
52,27102048,-8.901391332,39.7074376,0,0,0,4.8,5.54,2.87,3.5,2,0,0.3,76.7,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
53,27121756,-8.155341858,37.15098681,0,0,0,7.4,7.89,15.72,19.9,744,54.1,2.1,104.6,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
54,27122016,-8.795564111,39.43207414,0,0,0,7,7.23,21.8,18.7,8,7.2,1.9,139.3,B81,U111,PT,PT1,PT18,PT185,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
55,27141834,-8.318924201,37.84102488,0,0,0,5,5.47,5.19,8.3,0,6.4,0.8,46.8,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
56,27161812,-8.244007388,37.65202644,0,0,0,6.2,6.52,15.9,15.9,0,13.4,2,27.2,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
57,27162028,-8.781341154,39.54593442,0,0,0,7.2,7.56,17.74,27.9,357,7.3,3.1,393.7,B81,U111,PT,PT1,PT16,PT16F,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
58,27181846,-8.303628792,37.95506483,0,0,0,5.3,5.72,5.35,5.9,0,13,0.7,80.1,B81,U111,PT,PT1,PT18,PT181,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
59,27181912,-8.465129867,38.53433046,0,0,0,6,6.11,9.11,20.8,0,5.3,1.6,85.5,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
60,27182008,-8.707174304,39.37538276,0,0,0,6.6,6.86,9.43,18.3,2,4.2,1.9,229.8,E10,U111,PT,PT1,PT18,PT185,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
61,27201772,-8.105164104,37.30884037,0,0,0,6.4,6.57,18.13,22.3,3,0,1.9,144.3,C10,U120,PT,PT1,PT15,PT150,Woodland,Broadleaved woodland,Forestry
62,27201962,-8.567653831,38.97699355,0,0,0,4.2,4.96,3.84,13.5,0,5,0.9,37.1,C32,U120,PT,PT1,PT18,PT185,Woodland,Pine dominated mixed woodland,Forestry
63,27202006,-8.679456518,39.36230016,0,0,0,7.3,7.58,16.61,11.7,338,20.7,1.9,156.5,B43,U111,PT,PT1,PT18,PT185,Cropland,Other fresh vegetables,Agriculture (excluding fallow land and kitchen gardens)
64,27202042,-8.772304319,39.67727075,0,0,0,7.2,7.75,18.87,10,389,13.5,1.3,154.2,E20,U111,PT,PT1,PT16,PT16F,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
65,27221750,-8.031746353,37.11947836,0,0,0,7.1,7.36,20.8,24.4,551,6.4,1.5,237.4,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
66,27221804,-8.158773954,37.59456715,0,0,0,5.7,6.08,6.44,11,0,5.5,1.2,42,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
67,27221822,-8.201674106,37.75280367,0,0,0,5.9,6.15,7.57,15,1,15.2,1.5,172.3,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
68,27221858,-8.288325177,38.06908735,0,0,0,4.6,5.24,4.03,7.4,0,8.2,0.8,63.4,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
69,27241758,-8.02847573,37.1941453,0,0,0,7.5,7.89,23,15.4,686,8.7,2,262.6,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
70,27241816,-8.165260477,37.70434947,0,0,0,4.7,5.17,12.5,23.1,0,11.7,1.8,80.1,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
71,27241888,-8.339140772,38.33679543,0,0,0,4.8,5.43,4.2,10.2,0,4.8,1.1,92.8,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
72,27241916,-8.408011888,38.58247455,0,0,0,6,6.29,8.4,27.4,0,8,2.3,137,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
73,27241992,-8.598580275,39.24855054,0,0,0,7.4,7.89,32.8,11.4,19,28.6,1.3,114.7,B82,U111,PT,PT1,PT18,PT185,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
74,27242050,-8.747681036,39.75611735,0,0,0,7.2,7.45,23,17.8,0,25.9,1.2,124.8,E20,U111,PT,PT1,PT16,PT16F,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
75,27242068,-8.794615335,39.91350527,0,0,0,5.4,5.92,8.95,5.5,0,9.6,0.6,27.2,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
76,27242086,-8.841867931,40.07083025,0,0,0,4.6,5.06,3.25,5.5,0,0,0.4,26.9,C10,U120,PT,PT1,PT16,PT16E,Woodland,Broadleaved woodland,Forestry
77,27281742,-7.947455345,37.06174365,0,0,0,7.1,7.23,49.2,17.3,3,100.4,1.7,372,B76,U111,PT,PT1,PT15,PT150,Cropland,Oranges,Agriculture (excluding fallow land and kitchen gardens)
78,27281760,-7.98926198,37.22023173,0,0,0,6.9,7.25,17.41,7.7,8,4.1,0.8,42.4,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
79,27281838,-8.173618568,37.90628533,0,0,0,7.2,7.39,12.7,9.3,4,36.8,1.1,402.8,B81,U111,PT,PT1,PT18,PT184,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
80,27281850,-8.202449758,38.01172717,0,0,0,4.5,5.26,4.92,6.6,1,18.5,0.7,99.5,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
81,27281904,-8.333772287,38.48586992,0,0,0,5,5.49,5.71,12.7,0,5.2,1.2,81.1,B15,U111,PT,PT1,PT18,PT181,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
82,27281940,-8.422782643,38.80165119,0,0,0,4.9,5.46,3.66,11,0,6.6,0.9,61.7,C32,U120,PT,PT1,PT18,PT187,Woodland,Pine dominated mixed woodland,Forestry
83,27282072,-8.759527193,39.957369,0,0,0,5.4,5.87,5.12,7.9,0,6.1,0.8,127.1,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
84,27282102,-8.838408174,40.21956151,0,0,0,4.2,4.89,3.01,10.3,0,4.4,0.8,22.5,C10,U120,PT,PT1,PT16,PT16E,Woodland,Broadleaved woodland,Forestry
85,27301972,-8.480398084,39.08650659,0,0,0,4.5,5.11,3.78,15,0,11.1,1.1,29.8,E20,U111,PT,PT1,PT18,PT185,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
86,27301980,-8.500555622,39.15660199,0,0,0,5.9,6.38,3.86,5.7,0,0,0.4,21.7,C10,U120,PT,PT1,PT18,PT185,Woodland,Broadleaved woodland,Forestry
87,27302020,-8.602248621,39.50689337,0,0,0,5.6,5.97,3.88,13.6,0,5.3,1.3,52.6,B81,U111,PT,PT1,PT16,PT16I,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
88,27302044,-8.663997248,39.71691972,0,0,0,3.1,4.08,6.81,56.7,28,11,2.1,37.6,C32,U120,PT,PT1,PT16,PT16I,Woodland,Pine dominated mixed woodland,Forestry
89,27321748,-7.917530136,37.12302697,0,0,0,7,7.33,22.2,22.4,503,25.3,2.8,404.6,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
90,27321784,-8.001415407,37.43994321,0,0,0,5.1,5.52,6.37,11.7,0,9.2,1.3,48.1,F40,U111,PT,PT1,PT18,PT184,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
91,27322072,-8.71395517,39.96624501,0,0,0,5.6,5.95,4.47,13.3,1,0,0.5,47,D10,U120,PT,PT1,PT16,PT16F,Shrubland,Shrubland with sparse tree cover,Forestry
92,27341880,-8.208304069,38.28812514,0,0,0,6.7,6.95,9.37,16.2,0,26.7,1.6,126.4,B15,U111,PT,PT1,PT18,PT181,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
93,27341920,-8.306084154,38.63924275,0,0,0,5.9,6.26,6.93,14.6,0,28.5,1.6,151.1,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
94,27361828,-8.061192063,37.83547155,0,0,0,6.4,6.56,14.42,39.9,2,11.4,3.3,191.1,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
95,27361846,-8.104139267,37.99370508,0,0,0,7.2,7.63,14.47,9.6,42,19.5,0.9,269.1,B81,U111,PT,PT1,PT18,PT184,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
96,27361930,-8.308355998,38.73130171,0,0,0,4.8,5.35,4.01,13.4,0,9.5,1.5,125.1,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
97,27361954,-8.367875561,38.94179381,0,0,0,4.8,5.23,2.86,5.8,0,0,0.5,23.3,E10,U111,PT,PT1,PT18,PT185,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
98,27362062,-8.642388851,39.88763555,0,0,0,3.8,4.5,13.66,24.3,0,12.4,2,39.6,C32,U120,PT,PT1,PT16,PT16F,Woodland,Pine dominated mixed woodland,Forestry
99,27381884,-8.173463277,38.33184058,0,0,0,5.9,6.32,5.55,4.6,0,0,0.5,61,D10,U410,PT,PT1,PT18,PT187,Shrubland,Shrubland with sparse tree cover,Abandoned areas
100,27381902,-8.217254276,38.48989142,0,0,0,4.7,5.18,4.03,16.7,0,17.4,1.7,92.3,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
101,27381916,-8.251515379,38.61277672,0,0,0,4.7,5.21,12.33,28.3,0,9.2,2.2,120.2,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
102,27381926,-8.276096238,38.70052885,0,0,0,5.7,5.99,7.82,13.2,0,7.6,1.2,52.2,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
103,27382028,-8.532099306,39.59450173,0,0,0,6.1,6.18,7.54,27.1,0,4.1,1.9,74.1,B81,U111,PT,PT1,PT16,PT16I,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
104,27401804,-7.960229523,37.63287273,0,0,0,5.4,5.57,5.17,8.3,0,12.1,1.2,40.3,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
105,27401840,-8.04546633,37.94949001,0,0,0,7.4,7.76,17.61,12.3,21,14.5,1.2,361.9,B31,U111,PT,PT1,PT18,PT184,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
106,27402038,-8.535023205,39.68642896,0,0,0,3.6,4.31,4.53,40.4,0,5.3,1.2,34.4,C32,U120,PT,PT1,PT16,PT16I,Woodland,Pine dominated mixed woodland,Forestry
107,27402128,-8.769787704,40.47345671,0,0,0,4.7,5.29,2.9,3.3,0,5.5,0.2,12,C22,U120,PT,PT1,PT16,PT16E,Woodland,Pine dominated coniferous woodland,Forestry
108,27421740,-7.789523471,37.07357074,0,0,0,7.6,7.96,14.74,18,363,4.4,1.5,237.9,C10,U120,PT,PT1,PT15,PT150,Woodland,Broadleaved woodland,Forestry
109,27421762,-7.840226945,37.26737421,0,0,0,6.4,6.37,19.72,17.9,2,12.4,2,355.6,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
110,27421780,-7.882013906,37.42587121,0,0,0,5.7,6.23,5.43,5.3,1,0,0.8,62.5,C22,U120,PT,PT1,PT15,PT150,Woodland,Pine dominated coniferous woodland,Forestry
111,27421902,-8.172593972,38.49848408,0,0,0,5.1,5.51,10.15,25.5,0,25.5,2.5,125.2,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
112,27422006,-8.430829259,39.41058515,0,0,0,5.3,5.86,3.2,3.4,0,15.3,0.5,41.4,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
113,27422010,-8.440962163,39.44562452,0,0,0,7.2,7.38,31,10.1,5,31.5,1.3,216.7,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
114,27461842,-7.983712405,37.97982158,0,0,0,6.4,6.62,10.17,7.9,1,12.6,0.9,170.1,B31,U111,PT,PT1,PT18,PT184,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
115,27461868,-8.045813739,38.20837457,0,0,0,4.7,5.32,5.75,9.7,0,9.8,1.1,80.2,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
116,27461878,-8.069857195,38.29624505,0,0,0,4.9,5.41,8.7,16.5,0,20.2,1.7,146.8,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
117,27461892,-8.103666991,38.41923153,0,0,0,5,5.71,4.66,9.7,0,0,1,60.9,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
118,27462022,-8.426123654,39.55945695,0,0,0,5,5.47,10.3,45.3,0,6.2,2.7,135.5,C10,U120,PT,PT1,PT16,PT16I,Woodland,Broadleaved woodland,Forestry
119,27462138,-8.72738882,40.57415894,0,0,0,4.2,5,2.27,3.2,0,3.5,0.2,16.8,C22,U120,PT,PT1,PT16,PT16D,Woodland,Pine dominated coniferous woodland,Forestry
120,27481828,-7.92837558,37.86093134,0,0,0,5.6,5.88,5.87,16.9,0,4.6,1.8,64,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
121,27481840,-7.956786288,37.96647333,0,0,0,5.2,5.45,9.91,6.8,0,24.3,0.7,79.6,B31,U111,PT,PT1,PT18,PT184,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
122,27481894,-8.086193948,38.44107093,0,0,0,4.6,5.19,4.66,20.2,0,11.7,2,72.5,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
123,27481972,-8.277726695,39.12561598,0,0,0,6.4,6.66,9.85,7.8,2,7.7,0.6,31.3,C10,U120,PT,PT1,PT18,PT186,Woodland,Broadleaved woodland,Forestry
124,27482128,-8.677925269,40.49121854,0,0,0,6.9,7.27,6.14,5.1,1,12.1,0.6,31.7,E20,U111,PT,PT1,PT16,PT16D,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
125,27501780,-7.793951199,37.44268222,0,0,0,5.7,6.06,3.1,5.9,0,4.4,0.9,66.6,B74,U111,PT,PT1,PT15,PT150,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
126,27501802,-7.845168807,37.63637118,0,0,0,5.4,5.78,4.75,7.9,0,10.5,1.1,45.1,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
127,27501892,-8.059040764,38.4277697,0,0,0,4.8,5.45,4.93,9.3,0,9.5,1,32.8,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
128,27521862,-7.964727398,38.16838432,0,0,0,6.9,7.28,11.91,8.2,33,10.7,0.9,136.5,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
129,27521880,-8.007829938,38.32659296,0,0,0,6.9,7.36,12.06,20.8,13,4.9,2.3,96.1,B81,U111,PT,PT1,PT18,PT187,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
130,27522042,-8.408952199,39.74769001,0,0,0,6.4,6.53,8.6,31.7,1,6.4,1.9,255.4,C10,U410,PT,PT1,PT16,PT16I,Woodland,Broadleaved woodland,Abandoned areas
131,27522096,-8.548144841,40.22027772,0,0,0,7.1,7.36,22.4,12.8,42,110,1.6,71,B21,U113,PT,PT1,PT16,PT16E,Cropland,Potatoes,Kitchen gardens
132,27522114,-8.595175679,40.37768345,0,0,0,4.5,5.05,3,9.5,0,0,0.5,18.3,C22,U120,PT,PT1,PT16,PT16E,Woodland,Pine dominated coniferous woodland,Forestry
133,27541756,-7.694621989,37.23962435,0,0,0,5.1,5.94,3.69,15.6,0,4.6,1.6,145.2,D20,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland without tree cover,Abandoned areas
