OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
2914,32202298,-3.521780711,42.89437873,0,0,0,7.3,7.73,8.05,7,25,0,0.8,53.3,D10,U420,ES,ES4,ES41,ES412,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
2915,32202322,-3.57119771,43.10705355,0,0,0,4.5,5.1,6.13,42.2,1,11,3.4,135.2,D20,U420,ES,ES4,ES41,ES412,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
2916,32202330,-3.587776155,43.17792852,0,0,0,6.5,6.73,75.8,69.7,12,13,5.5,61,C10,U120,ES,ES1,ES13,ES130,Woodland,Broadleaved woodland,Forestry
2917,32202340,-3.608574398,43.26651056,0,0,0,4.7,4.99,40.4,16.6,1,19.6,2.1,85.5,E20,U111,ES,ES1,ES13,ES130,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2918,32202352,-3.633643172,43.37279191,0,0,0,5.1,5.37,50.4,49.8,1,78.7,4.6,258.1,B55,U111,ES,ES1,ES13,ES130,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
2919,32203464,-6.62035345,53.14221949,0,0,0,4.9,5.08,77.1,37.5,0,57.7,4.8,103.1,E20,U111,IE,IE0,IE06,IE062,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2920,32203504,-6.758969918,53.49064806,19,31,50,6.5,6.71,48.3,29,3,13.4,3.5,47.6,E20,U111,IE,IE0,IE06,IE062,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2921,32203590,-7.066511745,54.23900621,0,0,0,5.3,5.41,75.4,36.5,1,91.2,4.4,210.4,E20,U111,IE,IE0,IE04,IE041,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
2922,32221702,-2.409700367,37.59098696,41,10,49,7.7,8.06,22.2,19,134,11.1,2.2,291.6,B81,U111,ES,ES6,ES61,ES614,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
2923,32221796,-2.565305746,38.43122278,0,0,0,7.5,7.95,12.55,66.5,317,12.1,1.1,238.6,B81,U111,ES,ES4,ES42,ES421,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
2924,32221966,-2.861062427,39.94760216,0,0,0,7.5,7.98,23.9,21.8,508,66.5,1.5,281.2,B11,U111,ES,ES4,ES42,ES423,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2925,32221972,-2.871853888,40.00104769,0,0,0,7.7,8.15,19.53,20.4,443,18.8,0.7,161.3,B31,U111,ES,ES4,ES42,ES423,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
2926,32222008,-2.937126474,40.32161688,0,0,0,7.6,8.13,22.7,9,86,15.7,0.8,214.5,B81,U111,ES,ES4,ES42,ES424,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
