point_id,y_true,y_pred
28861884,6.7,25.223341385202975
28882332,68.7,35.868110946958296
28921674,11.7,15.790625746610027
28921756,7.4,18.75365202627713
28922062,15.9,27.769919142650906
28941730,13.6,24.614229850265886
28941870,3.3,16.272940582795307
28962348,81.4,42.03017926708269
29001674,3.9,15.855719167536487
29002402,46.2,41.97224686517408
29021648,8.1,15.790625746610027
29022110,7.7,31.939325088944297
29041870,7.9,15.950818677599251
29042168,87.0,27.30167463066501
29042302,47.5,40.87943296221924
29042356,47.0,47.56425946091199
29042420,31.4,42.508582778498884
29082270,83.4,41.19591572394232
29122076,17.4,28.36360780683975
29122112,14.0,27.136269465023368
29122342,83.5,33.5432651077914
29142438,87.0,49.42945498346703
29161684,10.4,15.790625746610027
29181610,19.3,29.29006360143013
29182322,83.7,54.2012439468302
29182358,28.2,32.353294234289436
29201738,5.7,19.99561519794277
29221700,10.4,15.85229449864295
29222266,40.7,30.659604067641606
29242272,72.1,40.04022740300241
29242340,42.3,50.96030589603434
29261670,13.8,18.600488777196322
29262270,49.9,23.275361404565533
29282026,20.2,36.026289742744886
29301780,8.5,41.44543881703441
29302338,54.0,41.273352475881126
29322114,15.4,29.004188298018022
29342128,8.2,16.786122907411485
29342422,42.1,49.58010108219541
29361628,7.1,18.709177525026064
29361700,12.0,15.790625746610027
29361794,8.7,26.16845322875405
29361826,13.5,26.90571760041959
29361938,38.5,29.21473351114825
29362376,78.8,47.24159137121199
29381732,12.8,15.978219270216911
29382188,5.3,31.012114804397935
29401924,5.7,17.468858333842565
29401956,7.6,27.348287604974438
29402104,7.1,28.50875459572687
29402158,9.8,29.09885164723725
29462056,21.3,25.11992592024625
29462422,65.2,51.57745981127873
29481636,45.9,50.56659057135776
29522188,6.9,18.49282749939422
29541898,14.2,23.518728059075922
29542352,87.0,44.10546621086039
29561652,69.6,30.898007483050552
29561738,7.7,15.790625746610027
29562426,18.5,24.515397518065598
29582100,7.9,28.199393758947323
29621878,9.2,16.719854810364033
29622234,42.7,28.81700715283227
29622346,70.2,43.07111878137483
29642200,5.4,26.01257395566624
29662338,48.0,41.12605156705294
29681800,9.8,30.973775424861774
29701642,46.7,21.609174215351423
29702264,87.0,45.54401506672844
29761960,16.9,27.15316686931841
29762042,32.3,36.248615860809586
29802054,8.7,42.16840197092876
29841626,30.0,25.876376765726384
29881742,25.5,26.88796448974398
29882272,56.5,44.63766999695783
29882354,87.0,44.32178968531345
29901646,24.9,28.14536801830731
29901692,6.1,16.801753600162257
29902060,37.9,37.53392721621678
29902268,38.6,30.819537121898236
29902286,12.8,39.22119809415442
29921720,17.3,16.161015082160823
29922350,50.6,49.524262063951916
29941866,12.9,16.63727636010562
29941888,18.3,24.826205520596275
29962314,72.0,45.569190099748766
29963430,78.3,28.611277172490716
29982048,46.8,39.65569560184992
29982076,7.8,32.371720530806456
30001728,24.7,16.609467279932613
30002398,75.8,32.096832049065256
30021820,8.4,29.238652924015437
30022058,30.7,39.925555637532014
30022270,7.1,40.714393272711
30042136,6.2,15.790625746610027
30042222,7.7,19.45029590985906
30042244,8.4,35.203746705650474
