rcasiteid,Gen_lat,Gen_long,SOCstock100
C0108R04,48.41,-119.41,56.3516246451906
C0108W01,44.78,-123.07,117.96602564193
C0108W02,44.99,-123.26,163.171559791868
C0108W03,44.22,-123.08,88.4185738925677
C0108W04,44.35,-123.31,70.9502221386013
C0108W05,46.95,-123.66,
C0108W07,44.78,-123.08,70.7852089864392
C0108W09,44.28,-123.03,194.857099405172
C0109C01,46.28,-118.93,22.2330557604593
C0109C02,43.3,-116.57,61.7769475530057
C0109C04,45.9,-119.41,37.6303832880877
C0109C06,47.75,-120.16,41.2174645445074
C0109C07,43.73,-116.99,26.8969976643797
C0109P01,45.82,-119.76,40.2508601799692
C0109P02,44.04,-121.16,28.214747174667
C0109P03,43.16,-112.32,74.1593870477001
C0109P04,44.57,-113.26,70.3772070837505
C0109R01,47.28,-119.25,36.9553054275642
C0109R03,44.02,-121.24,28.144459199853
C0109R04,43.1,-112.34,71.054709817168
C0109X01,47.85,-119.41,63.0966744587484
C0109X02,47.89,-119.55,30.5691711845539
C0109X03,47.88,-119.38,59.5970699904152
C0109X04,47.79,-119.53,50.4389025058603
C0109X05,46.54,-118.27,62.545180258284
C0110C01,42.58,-113.83,55.2091264171856
C0110C02,43.7,-116.44,111.371077892294
C0110C03,46.46,-118.35,76.3966100701434
C0110C04,46.1,-119.36,51.8525846429417
C0110C05,47.23,-119.17,
C0110C06,46.91,-118.42,67.071245830235
C0110C07,45.68,-119.6,57.5737313870321
C0110P01,42.7,-115.01,46.9445962290112
C0110P03,43.36,-116.63,112.047225253417
C0110P04,43.0,-114.68,64.1777167303904
C0110P06,44.11,-116.71,64.784312864583
C0110P07,44.99,-117.93,88.8494232132986
C0110R01,48.8,-119.58,37.8780587561611
C0110R02,46.59,-118.94,38.7783464527236
C0110R03,45.44,-120.29,36.2070888007185
C0110R04,45.53,-120.22,53.9698389671116
C0110R05,45.72,-120.04,32.3894550907665
C0110X01,46.49,-120.28,27.274195534956
C0110X02,46.69,-118.57,48.8796079369406
C0110X03,46.51,-118.94,48.2788988012116
C0111C01,42.88,-113.88,69.2010503545606
C0111C02,44.27,-116.77,87.6420252194782
C0111C03,43.84,-112.49,48.1867800808065
C0111C05,42.98,-114.72,48.3467392745632
C0111R01,44.28,-116.98,86.1620612924602
C0111R02,43.29,-116.14,57.4268615853318
C0111R03,44.28,-116.77,68.9900978754285
C0112F01,48.34,-119.82,23.4240734181895
C0112F02,44.35,-120.56,
C0112F03,43.8,-111.06,36.3792271209496
C0112F04,46.02,-121.58,90.9109599992377
C0112F05,44.84,-118.0,46.6547721917752
C0112R01,44.01,-111.73,68.8120712277937
C0112R02,43.84,-116.48,63.5036144608426
C0112R03,43.21,-114.35,25.2804354867008
C0112R04,43.85,-116.22,43.736142307265
C0113C01,43.31,-114.69,88.8372370062639
C0113C02,46.49,-117.26,73.3903037850135
C0113C03,42.5,-112.14,88.3498047542802
C0113C04,44.99,-122.92,104.389389785872
C0113C05,45.9,-118.72,
C0113C06,45.86,-118.45,91.5131429953995
C0113F01,45.13,-118.75,125.532870432508
C0113F02,47.46,-122.68,154.77886289961
C0113F03,44.82,-121.53,357.705876092231
C0113F04,46.79,-123.25,148.061093550942
C0113F05,47.04,-123.3,291.423317803394
C0113P01,42.48,-112.46,185.416437497823
C0113P03,46.86,-117.75,121.846826414516
C0113P04,48.11,-122.57,152.815277829585
C0113P05,44.97,-117.91,109.98873670624
C0113P06,44.93,-117.96,98.660509425155
C0113R01,43.97,-116.34,26.1627485110842
C0113R02,46.5,-117.95,50.9966361185443
C0113R03,45.22,-120.97,32.0559538916798
C0113R04,42.15,-112.03,394.975104504153
C0113R05,43.12,-112.2,76.5165460893551
C0113R06,47.92,-119.3,42.9021484052362
C0113R07,43.33,-115.29,80.3348614411592
C0113W01,43.73,-111.2,290.044024291732
C0113W02,43.08,-112.53,144.00776337282
C0113W05,42.22,-111.36,108.538364876745
C0113W06,45.04,-121.51,400.915724300641
C0113W07,43.39,-114.57,167.721450496964
C0113X01,45.24,-119.78,51.9883171080424
C0113X02,46.57,-117.92,53.2991457649511
C0113X03,43.85,-111.32,95.1110874637124
C0113X04,45.42,-120.55,66.4896674468622
C0114C01,44.76,-123.2,202.498588499654
C0114C02,44.58,-122.92,143.500233450123
C0114C03,46.18,-117.23,
C0114C05,44.84,-122.81,184.073164237334
C0114C07,46.35,-117.1,
C0114F01,44.55,-120.52,117.505434606942
C0114F02,46.22,-122.75,431.64485385948
C0114F03,44.44,-122.71,353.824706796833
C0114F04,43.79,-123.14,341.925473943209
C0114F05,44.35,-122.86,235.194560429296
C0114F06,44.46,-122.88,391.89690264632
C0114F07,46.2,-122.82,280.422738642837
C0114F08,46.2,-123.18,211.539585891341
C0114P01,46.47,-122.81,197.711165083755
C0114P02,44.61,-123.43,97.7002250647316
C0114P03,43.64,-123.62,189.380804128582
C0114P04,43.77,-122.47,182.55656218118
C0114P05,45.14,-123.35,170.100179138456
C0114R01,42.41,-111.66,201.812543564343
C0114R02,45.65,-117.03,51.64116204181
C0114R03,44.81,-117.44,60.3915910321569
C0114R04,43.33,-114.07,60.0747519232666
C0114R06,44.34,-116.94,78.0581736565687
C0114R07,44.89,-120.76,70.820813867449
C0114R08,44.7,-120.97,
C0114R09,45.07,-119.88,143.068601057089
C0114W04,43.28,-114.67,135.415545158307
C0114X01,44.3,-116.57,68.18886645375
C0114X02,44.61,-117.81,114.089692632015
C0114X03,42.23,-112.15,134.229816210613
C0114X04,42.14,-112.0,79.1615590848776
C0115F01,45.52,-121.73,134.692636294519
C0115F02,48.0,-122.44,176.527038517059
C0115F03,47.58,-121.98,
C0115F04,47.14,-123.45,
C0115F05,48.59,-122.23,
C0115F06,47.84,-122.52,96.039336300811
C0115F07,47.98,-122.4,241.788646280959
C0115F08,48.0,-122.44,251.26303834493
C0115F09,48.04,-122.8,339.63445633331
C0115P01,44.0,-116.8,54.6390896311137
C0115P03,47.24,-122.09,128.855189747109
C0115P04,48.36,-122.63,
C0115P05,47.24,-122.09,132.684743378475
C0115P06,48.1,-123.14,95.9127234849602
C0115R01,48.85,-119.64,18.6672537871858
C0115R02,48.14,-118.88,60.9980889824113
C0115R04,44.04,-111.6,25.659463915794
C0115R05,43.52,-116.95,
C0115R06,48.41,-119.49,16.3881894132947
C0116C01,45.17,-122.63,96.4318315488298
C0116C02,42.34,-113.17,44.421906699156
C0116C04,43.85,-116.53,46.323583937873
C0116C05,45.17,-122.75,70.7556150849109
C0116C06,45.51,-122.35,63.7311418054325
C0116C07,48.83,-122.59,96.1578720619341
C0116C10,48.48,-122.25,115.768699435021
C0116F01,45.68,-117.96,202.106815889033
C0116F02,47.85,-122.52,279.465455013387
C0116F03,45.63,-121.39,176.196594649
C0116F04,46.11,-117.21,134.017379391213
C0116F05,46.13,-116.79,73.4755006819787
C0116F06,47.73,-120.84,85.6047286059271
C0116F08,47.11,-122.78,
C0116P02,47.34,-117.77,23.4066394942127
C0116P03,47.27,-122.08,
C0116P04,42.27,-113.2,79.6369228261484
C0116P05,47.27,-122.08,273.363377828826
C0116R01,45.6,-117.66,211.32694233407
C0116R02,42.27,-113.2,56.1538686282054
C0116R03,45.47,-121.21,48.6556094150699
