OID_,Point_ID,X,Y
224,41763118,7.927211251,51.15462441
225,41763136,7.919915919,51.31634402
226,41763142,7.917469987,51.37024921
227,41763196,7.895132249,51.85536787
228,41763268,7.864411583,52.50212519
229,41763334,7.835266057,53.09493419
230,41782754,8.088921918,47.88296642
231,41782772,8.082848902,48.04487784
232,41782888,8.042501763,49.08802179
233,41783032,7.989317885,50.38236788
234,41783068,7.975449471,50.70586968
235,41783204,7.920836837,51.92774942
236,41783248,7.902377257,52.32299847
237,41783270,7.89299544,52.52061377
238,41783288,7.88524249,52.68229498
239,41783342,7.861558712,53.16732024
240,41783356,7.855312224,53.29306377
241,41783392,7.839043743,53.61639888
242,41802746,8.118285895,47.81146285
243,41802956,8.045543015,49.69979541
244,41822766,8.138428133,47.99182831
245,41822888,8.097234761,49.08896482
246,41823036,8.044049601,50.41928745
247,41823058,8.035822961,50.6169892
248,41823112,8.015260109,51.10221187
249,41823184,7.986996131,51.74908772
250,41823216,7.97411205,52.03656074
251,41823256,7.957718387,52.39588214
252,41823284,7.946047442,52.64739572
253,41823302,7.938457951,52.80907872
254,41823346,7.919613764,53.20429189
255,41823400,7.895903807,53.68930868
256,41862732,8.202742024,47.68685784
257,41862756,8.19516185,47.90276653
258,41862778,8.188141314,48.10066297
259,41862864,8.160017181,48.87408718
260,41863092,8.079807728,50.92346448
261,41863128,8.066332442,51.24693544
262,41863206,8.036316165,51.94770955
263,41863224,8.029225008,52.10941327
264,41863254,8.01726534,52.37890999
265,41863326,7.987821571,53.02566182
266,41882776,8.215605936,48.083111
267,41882944,8.160493125,49.59378361
268,41882974,8.150194276,49.86345358
269,41883064,8.118411606,50.672323
270,41883124,8.096453885,51.21146712
271,41883132,8.093477981,51.28334762
272,41883136,8.091985705,51.31928742
273,41883154,8.085234529,51.481013
274,41883208,8.064621866,51.96615758
275,41902738,8.25414483,47.74169965
276,41902954,8.18477906,49.68412406
277,41903184,8.102802832,51.75101436
278,41903188,8.101295271,51.78695109
279,41903206,8.094474532,51.94866339
280,41903278,8.066577195,52.59546955
281,41903314,8.052248586,52.91885131
282,41903350,8.037657717,53.24222227
283,41922892,8.232785405,49.12717039
284,41922924,8.222379299,49.41487222
285,41922942,8.216457738,49.57669097
286,41922964,8.209152593,49.77445681
287,41923014,8.192267473,50.22387593
288,41923090,8.165825003,50.90687647
289,41923140,8.147896436,51.35615248
290,41923186,8.131013979,51.7694468
291,41923212,8.121302405,52.00303326
292,41942740,8.306843697,47.76052969
293,41943172,8.165077195,51.64412071
294,41943250,8.136221467,52.34487591
295,41962754,8.329399412,47.88688944
296,41962892,8.287564723,49.12802056
297,41962952,8.268533999,49.66744728
298,41962970,8.262720501,49.82925499
299,41962982,8.258817558,49.93712189
300,41963126,8.21021133,51.23125447
301,41963150,8.201779074,51.44690142
302,41963186,8.18894472,51.77035349
303,41963216,8.178075306,52.03988171
304,41963222,8.175882103,52.09378584
305,41963276,8.155847178,52.57890302
306,41963360,8.12358479,53.33347353
307,41982722,8.36530609,47.59939062
308,41982974,8.289230023,49.8656334
309,41983118,8.24158219,51.15980572
310,41983298,8.177156831,52.77698856
311,42002960,8.321427912,49.7401983
312,42002968,8.318923215,49.81211361
313,42002996,8.310082504,50.06380367
314,42003130,8.266110675,51.26806345
315,42003148,8.259985642,51.42980184
316,42003184,8.247573547,51.75326222
317,42003202,8.241285103,51.91498485
318,42003238,8.228539877,52.23841659
319,42003248,8.224959093,52.32825581
320,42003288,8.210456455,52.68760157
321,42003356,8.185123692,53.29845644
322,42022728,8.41679576,47.65415854
323,42022782,8.401684742,48.13996611
324,42023034,8.326021454,50.40576521
325,42023304,8.234239187,52.83177567
326,42042724,8.444483556,47.61854976
327,42042930,8.385903729,49.47130299
328,42042940,8.382916874,49.56120701
329,42043110,8.329931241,51.08918235
330,42043120,8.326678768,51.17904329
331,42043156,8.314838738,51.5025276
332,42062826,8.443230691,48.5365007
333,42062920,8.416409592,49.38178663
334,42062956,8.405825611,49.70544111
335,42063100,8.361652136,50.99972565
336,42063160,8.342330047,51.53888059
337,42063196,8.33046335,51.86234442
338,42063358,8.274364189,53.31773775
339,42082774,8.484399304,48.06913843
340,42082918,8.444515533,49.36418841
341,42082950,8.435288197,49.65188757
342,42083076,8.397578803,50.78444149
343,42083112,8.386383269,51.10796216
344,42083188,8.36209866,51.79087243
345,42083224,8.350276881,52.11432488
346,42083332,8.313516782,53.08459289
347,42083350,8.307193759,53.24629459
348,42102744,8.519062653,47.79960685
349,42103072,8.427142462,50.74888284
350,42103212,8.383360339,52.00691158
351,42103248,8.371609277,52.33035602
352,42103356,8.335061974,53.30061073
353,42122794,8.532842259,48.2497777
354,42122800,8.531274901,48.30374906
355,42122902,8.503964173,49.22107218
356,42122956,8.488978156,49.70658118
357,42123052,8.461383044,50.56951517
358,42123178,8.423192545,51.7018123
359,42142780,8.563330401,48.1241926
360,42142870,8.539953842,48.93368144
361,42142960,8.515591965,49.74290828
362,42142970,8.512821683,49.83280796
363,42143114,8.471444154,51.12709388
364,42143150,8.46064644,51.45059801
365,42143366,8.391680622,53.39125652
366,42162812,8.582128989,48.41239238
367,42162884,8.563584299,49.05993158
368,42163298,8.443831956,52.78074741
369,42182748,8.624809245,47.83698589
370,42182910,8.584220281,49.29407337
371,42182928,8.579521664,49.45591897
372,42183076,8.539349937,50.78632224
373,42183126,8.525127296,51.23567076
374,42183148,8.518759803,51.43336942
375,42183342,8.459523641,53.17642652
376,42203322,8.495679382,52.99712314
377,42222792,8.667890273,48.23349183
378,42222936,8.632654843,49.52852982
379,42223048,8.60357504,50.53536401
380,42223056,8.601438468,50.60726911
381,42223066,8.598756275,50.69714852
382,42223116,8.585151006,51.14651474
383,42223242,8.549365561,52.27872792
384,42223296,8.533334752,52.76389974
385,42223398,8.501838198,53.68027486
386,42242908,8.66716555,49.27709756
387,42243136,8.608304707,51.3265938
388,42243196,8.591716587,51.86575796
389,42243262,8.572896095,52.45878068
390,42243402,8.530852987,53.71657824
391,42262882,8.700832572,49.04361689
392,42262900,8.696554311,49.20548279
393,42263008,8.670120168,50.17648226
394,42263076,8.652774099,50.78770151
395,42263094,8.648087584,50.94947812
396,42263098,8.647040629,50.98542761
397,42263184,8.624034367,51.75827213
398,42263206,8.617992511,51.95595772
399,42263224,8.613000317,52.11769561
400,42282820,8.742343022,48.48630866
401,42282892,8.725856012,49.1338583
402,42283108,8.672947258,51.0756297
403,42283180,8.654064501,51.72266368
404,42283198,8.649239383,51.88440934
405,42283356,8.604983623,53.30402066
406,42303034,8.719814656,50.41083803
407,42322820,8.796427043,48.48690884
408,42322970,8.762954076,49.8358098
409,42323042,8.74603739,50.48305909
410,42323054,8.743161498,50.59092209
411,42323068,8.739785451,50.71675829
412,42323086,8.735411506,50.87854167
413,42323104,8.730999653,51.04031857
414,42323114,8.728532068,51.13019195
415,42323126,8.725555211,51.23803756
416,42323144,8.7210574,51.39980122
417,42323176,8.71296351,51.68736785
418,42323240,8.696390021,52.26245691
419,42323288,8.683610647,52.69374221
420,42323378,8.658802085,53.50235276
421,42343028,8.777471153,50.35751813
422,42343226,8.729266857,52.13697775
423,42362906,8.832454121,49.26094674
424,42362968,8.818983802,49.81842076
425,42363036,8.803753402,50.42972714
426,42363058,8.79872012,50.62747938
427,42363076,8.794562554,50.78926891
428,42363108,8.787082249,51.07687854
429,42363234,8.756473699,52.20917262
430,42363374,8.720144844,53.46706461
431,42383178,8.79923936,51.70625969
432,42383304,8.768302949,52.83844586
433,42383340,8.759100354,53.1619002
434,42383394,8.744977166,53.64706863
435,42402742,8.919635192,47.7862859
436,42402858,8.89707814,48.82982723
437,42402876,8.893470017,48.99171452
438,42402894,8.889831941,49.15359158
439,42403002,8.867354054,50.1246571
440,42403026,8.862202636,50.34040805
441,42403110,8.843702625,51.09543608
442,42403326,8.792508327,53.03641587
443,42403344,8.78798828,53.19814281
444,42403354,8.785459254,53.28799032
445,42403530,8.738746942,54.8692772
446,42422826,8.930492337,48.54226545
447,42423010,8.893648295,50.19685027
448,42423082,8.878344164,50.84405526
449,42423100,8.874435251,51.00583944
450,42423366,8.812466307,53.3961046
451,42443112,8.900368219,51.11396598
452,42443310,8.855914872,52.89323742
453,42443404,8.833220037,53.73781544
454,42462780,8.992931208,48.1289547
455,42462870,8.976542064,48.93853299
456,42462906,8.969795243,49.26228976
457,42463054,8.940838963,50.59291176
458,42463068,8.937993698,50.71875412
459,42463086,8.934307423,50.88054546
460,42463122,8.926838615,51.20410924
461,42463162,8.918386093,51.56359765
462,42463168,8.917103979,51.61751868
463,42463294,8.889285897,52.74975254
464,42463356,8.874941422,53.30682904
465,42482812,9.014186203,48.41708053
466,42483136,8.952591238,51.33019447
467,42483154,8.948883656,51.49196437
468,42483226,8.933723029,52.13899554
469,42483322,8.912649459,53.00161124
470,42483466,8.879052038,54.29543722
471,42502766,9.04899325,48.00347065
472,42502820,9.03981867,48.48928324
473,42503014,9.00491884,50.23384005
474,42503180,8.972413013,51.72587968
475,42503186,8.971188523,51.77979982
476,42503342,8.938040009,53.18158019
477,42503366,8.932705705,53.39722174
478,42503522,8.896376587,54.79886973
479,42522884,9.056008628,49.06516505
480,42522920,9.049761141,49.38891197
481,42523334,8.969664592,53.10995771
482,42542896,9.081357156,49.17331287
483,42543054,9.053803998,50.59389624
484,42543086,9.04796887,50.88153691
485,42543090,9.047233175,50.91749054
486,42543140,9.037916446,51.36688581
487,42543248,9.017000854,52.33744677
488,42543270,9.012601866,52.53513618
489,42543292,9.008154308,52.73282105
490,42543360,8.994091754,53.34382476
491,42562962,9.097850758,49.76702472
492,42563034,9.085540448,50.41433755
493,42563286,9.038939867,52.67914857
494,42563304,9.035384688,52.84088965
495,42582904,9.13493038,49.24569378
496,42582976,9.123318261,49.89311937
497,42582994,9.120353714,50.05495406
498,42583038,9.113000293,50.45051683
499,42583062,9.108924216,50.66625983
500,42583080,9.105836397,50.82805911
501,42583182,9.087823805,51.74480912
502,42583228,9.079402728,52.15819335
503,42583236,9.077918595,52.23008358
504,42602746,9.185798597,47.82458463
505,42602758,9.184078962,47.93256386
506,42602992,9.148596822,50.03718487
507,42603070,9.135884272,50.73838713
508,42603100,9.130867682,51.00804564
509,42603190,9.115374278,51.81692562
510,42603250,9.104659699,52.35611444
511,42603492,9.057999827,54.53058699
512,42622896,9.19103738,49.17415722
513,42623040,9.168996742,50.46891752
514,42623044,9.168362936,50.50487575
515,42623080,9.162604008,50.82848446
516,42623116,9.156744928,51.15206736
517,42623274,9.129780087,52.57199742
518,42623332,9.119339212,53.09316927
519,42623368,9.11270304,53.41664479
520,42642870,9.222153022,48.9405124
521,42643126,9.183737771,51.24215158
522,42643222,9.168074855,52.1049232
523,42643252,9.163026688,52.37451445
524,42643410,9.135147889,53.79424523
525,42663262,9.190752013,52.46457956
526,42663394,9.168314568,53.65069023
527,42663520,9.145430719,54.78284871
528,42682790,9.287054685,48.22122929
529,42682952,9.265757744,49.67831003
530,42683024,9.255766616,50.32565958
531,42683042,9.253215375,50.48747753
532,42683078,9.248046884,50.81109238
533,42683096,9.245429085,50.97288993
534,42683204,9.229234529,51.94355777
535,42683212,9.22800061,52.01545224
536,42683216,9.227381825,52.05139917
537,42683222,9.226451355,52.10531921
538,42683234,9.224582119,52.21315801
539,42683270,9.218907186,52.53666513
540,42683348,9.206254844,53.23755988
541,42683378,9.201253967,53.50712556
542,42683482,9.183307444,54.44160796
543,42683528,9.175053444,54.85494246
544,42703082,9.275862842,50.84722932
545,42722806,9.338978782,48.36551222
546,42722852,9.33349577,48.7793151
547,42722860,9.332530405,48.85127361
548,42722910,9.326415859,49.30096887
549,42723040,9.309836394,50.46985062
550,42723058,9.307459663,50.63166362
551,42723126,9.298293903,51.24289833
552,42723238,9.28252223,52.24947249
553,42723338,9.267681726,53.1480811
554,42723522,9.238314898,54.80142341
555,42743070,9.334194444,50.73970212
556,42743196,9.317575934,51.87219928
557,42762760,9.397869049,47.95194111
558,42762922,9.380032784,49.40920125
559,42763074,9.362034855,50.77581896
560,42763084,9.360804732,50.86570957
561,42763102,9.358575587,51.02750778
562,42763282,9.335175903,52.64521359
563,42763300,9.332719301,52.80696375
564,42763318,9.330240375,52.96871151
565,42763408,9.317500352,53.7774258
566,42763458,9.310163878,54.22670426
567,42763462,9.309568687,54.2626466
568,42763476,9.307475697,54.38844506
569,42763506,9.302938652,54.65801503
570,42782782,9.422387855,48.15003744
571,42782830,9.417419086,48.58187438
572,42782872,9.41298148,48.95966762
573,42782902,9.409759013,49.22948573
574,42783024,9.396181565,50.32648612
575,42783106,9.386606227,51.06361642
576,42783118,9.385173128,51.17147808
577,42783142,9.382281877,51.38719389
578,42783474,9.338539501,54.37064205
579,42802824,9.445112804,48.52803778
580,42802896,9.437829019,49.17566503
581,42803040,9.422511504,50.4704727
582,42803098,9.416041618,50.9918542
583,42803220,9.401826272,52.0883607
584,42803238,9.39965606,52.25012292
585,42803292,9.393027721,52.73538981
586,42822748,9.479251144,47.84436891
587,42822906,9.464270559,49.26573476
588,42822910,9.463877071,49.30170821
589,42822960,9.458896359,49.751338
590,42823378,9.412233261,53.50832818
591,42843100,9.472807023,51.01010486
592,42843218,9.460399141,52.07066744
593,42843412,9.438351695,53.81398568
594,42843442,9.43474357,54.0835572
595,42843466,9.431816334,54.29921478
596,42862808,9.527667889,48.38447238
597,42862834,9.525462229,48.61837318
598,42862942,9.516013782,49.58972966
599,42863078,9.503418186,50.81247245
600,42863176,9.493821156,51.69333118
601,42863186,9.492815929,51.78320611
602,42863234,9.487921482,52.21458764
603,42863302,9.480785159,52.82566942
604,42863320,9.478855088,52.98742006
605,42863378,9.47251492,53.50860457
606,42863392,9.470956234,53.63440584
607,42863456,9.463685836,54.20949439
608,42863486,9.460193683,54.47906835
609,42883028,9.536248684,50.36310195
610,42902928,9.572433808,49.4640553
611,42902946,9.57100724,49.62592274
612,42902960,9.569889389,49.75181354
613,42903112,9.557265467,51.11832713
614,42903252,9.544790882,52.3765881
615,42903356,9.534946858,53.31116085
616,42903450,9.525589937,54.15583067
617,42903482,9.522299244,54.44337787
618,42903508,9.519584614,54.67701214
619,42922926,9.600165811,49.44617063
620,42923304,9.569614302,52.84399412
621,42942738,9.640110621,47.7550213
622,42942810,9.635497544,48.40287369
623,42942840,9.633530647,48.67275769
624,42943048,9.619117924,50.54321553
625,42943084,9.616477132,50.86684024
626,42943146,9.611820688,51.42413636
627,42943458,9.586090742,54.22793817
628,42962764,9.665242261,47.98907492
629,42962776,9.664531687,48.09705216
630,42962902,9.656832256,49.23051236
631,42962938,9.654549367,49.55426675
632,42963078,9.645296268,50.81299522
633,42963124,9.642118965,51.22648537
634,42963262,9.632148834,52.46675979
635,42982824,9.688718227,48.52898841
636,42982896,9.684632015,49.17663005
637,42982918,9.683356232,49.37448858
638,42983130,9.670362998,51.2805007
639,42983220,9.664434348,52.08939709
640,42983296,9.659218848,52.77238937
641,42983346,9.655677646,53.22170133
642,42983458,9.647409635,54.22812859
643,42983494,9.644648489,54.55162375
644,43002766,9.718703739,48.00722154
645,43003176,9.69628982,51.69402945
646,43003518,9.673840813,54.76737476
647,43022722,9.747450877,47.61132489
648,43022740,9.746654855,47.77331833
649,43022764,9.745583466,47.98929011
650,43022782,9.744772308,48.15125477
651,43022872,9.740615762,48.96090783
652,43022962,9.736283874,49.77030723
653,43022974,9.735692471,49.87821019
654,43023088,9.72990393,50.90311828
655,43023106,9.728960856,51.06492096
656,43023172,9.725431874,51.65814963
657,43023196,9.724120221,51.8738527
658,43023200,9.723900107,51.90980246
659,43023334,9.716268006,53.11402301
660,43023370,9.71412843,53.43752308
661,43023478,9.707467114,54.40800843
662,43023484,9.707085963,54.4619246
663,43042730,9.773719,47.68338183
664,43042816,9.770251112,48.45721544
665,43042898,9.766816013,49.19481891
666,43042964,9.763955298,49.78835251
667,43043060,9.759633093,50.65147524
668,43043086,9.758428202,50.88520267
669,43043122,9.756734875,51.20880397
670,43043230,9.751473522,52.17948426
671,43043432,9.740839146,53.99472177
672,43043486,9.737804833,54.47996571
